brand,image_url,price,rating,title,total_review
HAYDEN haiza,https://m.media-amazon.com/images/I/51op0dvoBUL._AC_UL320_.jpg,549,3.5 out of 5 stars,Men's Original Polarized Aviator TAC polycarbonate and metal Material Sunglasses Black light shade size [Medium],35
ARICKS,https://m.media-amazon.com/images/I/513VBtBPa6L._AC_UL320_.jpg,359,5.0 out of 5 stars,Retro Rectangle Sunglasses Women and Men Vintage Small Square Sun Glasses UV Protection Glasses,1
Dervin,https://m.media-amazon.com/images/I/51Z1Tml1OzL._AC_UL320_.jpg,424,3.7 out of 5 stars,Allu Arjun Inspired UV Protected Round Sunglasses for Men and Women,111
CREATURE,https://m.media-amazon.com/images/I/614D7fogd4L._AC_UL320_.jpg,289,3.4 out of 5 stars,Matt Finish Club master Uv Protected Sunglasses,293
Vincent Chase,https://m.media-amazon.com/images/I/51LyqBqc4KL._AC_UL320_.jpg,749,3.8 out of 5 stars,by Lenskart | Square Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Large | VC S12644,80
ARICKS,https://m.media-amazon.com/images/I/41LehQHylBL._AC_UL320_.jpg,349,3.9 out of 5 stars,UV protected Unisex Sunglasses | Tony Stark Iron man Avengers Goggles | Anti Glare & UV 400 filtering Glass | Square Metal Frame - For Men and Women,23
CREEK,https://m.media-amazon.com/images/I/31cCr-gRStL._AC_UL320_.jpg,349,3.8 out of 5 stars,Unisex Adult Round Sunglasses (Pack of 5),163
Dervin,https://m.media-amazon.com/images/I/61FRNws4P+L._AC_UL320_.jpg,284,3.1 out of 5 stars,Transparent Night Driving Aviator Sunglasses for Men and Women Combo of 2(53 Unisex Sunglasses),762
BAVINCIS,https://m.media-amazon.com/images/I/61KKLGORS5L._AC_UL320_.jpg,"2,499",5.0 out of 5 stars,STANLY D11 SILVER AND GRAY GRADIENT EDITION SUNGLASSES,2
Fastrack,https://m.media-amazon.com/images/I/61U55pAAebL._AC_UL320_.jpg,551,4.0 out of 5 stars,Men Pilot Sunglasses Black Frame Brown Lens (Product code- P358BK2V),"3,216"
